Date : 2025-05-31 13:55:30
Directory : d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3
Total : 241 files,  35783 codes, 5344 comments, 7761 blanks, all 48888 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\gender_recommendation\urls.py                                     | Python           |          5 |          0 |          1 |          6 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\gender_recommendation\views.py                                    | Python           |         16 |          0 |          3 |         19 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\manage.py                                                         | Python           |         15 |          3 |          5 |         23 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\recommendation\__init__.py                                        | Python           |          0 |          0 |          1 |          1 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\recommendation\admin.py                                           | Python           |          1 |          1 |          2 |          4 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\recommendation\apps.py                                            | Python           |          4 |          0 |          3 |          7 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\recommendation\models.py                                          | Python           |         45 |          0 |         10 |         55 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\recommendation\serializers.py                                     | Python           |         37 |          0 |          5 |         42 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\recommendation\services.py                                        | Python           |        127 |         20 |         35 |        182 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\recommendation\tests.py                                           | Python           |          1 |          1 |          2 |          4 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\recommendation\urls.py                                            | Python           |         10 |          0 |          2 |         12 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\recommendation\views.py                                           | Python           |         76 |          1 |         16 |         93 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\requirements.txt                                                  | pip requirements |         17 |          0 |          0 |         17 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\reviews\__init__.py                                               | Python           |          0 |          0 |          1 |          1 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\reviews\admin.py                                                  | Python           |          1 |          1 |          2 |          4 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\reviews\apps.py                                                   | Python           |          4 |          0 |          3 |          7 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\reviews\models.py                                                 | Python           |         29 |          3 |          7 |         39 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\reviews\serializers.py                                            | Python           |         18 |          0 |          2 |         20 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\reviews\tests.py                                                  | Python           |          1 |          1 |          2 |          4 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\reviews\urls.py                                                   | Python           |          8 |          0 |          2 |         10 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\reviews\views.py                                                  | Python           |         41 |          3 |         10 |         54 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\script_murder_system\__init__.py                                  | Python           |          0 |          0 |          1 |          1 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\script_murder_system\asgi.py                                      | Python           |          4 |          8 |          5 |         17 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\script_murder_system\settings.py                                  | Python           |        102 |         32 |         38 |        172 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\script_murder_system\urls.py                                      | Python           |         38 |         17 |          3 |         58 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\script_murder_system\wsgi.py                                      | Python           |          4 |          8 |          5 |         17 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\scripts\view_database.py                                          | Python           |         54 |          8 |         13 |         75 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\static\js\auth.js                                                 | JavaScript       |         24 |          6 |          4 |         34 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\autocomplete.css                            | PostCSS          |        230 |          0 |         50 |        280 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\base.css                                    | PostCSS          |        935 |         32 |        217 |      1,184 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\changelists.css                             | PostCSS          |        273 |          8 |         63 |        344 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\dark_mode.css                               | PostCSS          |         96 |          6 |         29 |        131 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\dashboard.css                               | PostCSS          |         21 |          2 |          7 |         30 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\forms.css                                   | PostCSS          |        387 |         12 |        100 |        499 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\login.css                                   | PostCSS          |         49 |          1 |         12 |         62 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\nav_sidebar.css                             | PostCSS          |        125 |          0 |         26 |        151 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\responsive.css                              | PostCSS          |        677 |         31 |        201 |        909 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\responsive_rtl.css                          | PostCSS          |         70 |          2 |         18 |         90 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\rtl.css                                     | PostCSS          |        223 |          8 |         63 |        294 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\unusable_password_field.css                 | PostCSS          |         13 |          3 |          4 |         20 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\vendor\select2\LICENSE-SELECT2.md           | Markdown         |         17 |          0 |          5 |         22 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\vendor\select2\select2.css                  | PostCSS          |        425 |          0 |         57 |        482 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\vendor\select2\select2.min.css              | PostCSS          |          1 |          0 |          1 |          2 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\widgets.css                                 | PostCSS          |        503 |          9 |        102 |        614 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\calendar-icons.svg                          | XML              |         63 |          0 |          1 |         64 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\gis\move_vertex_off.svg                     | XML              |          1 |          0 |          0 |          1 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\gis\move_vertex_on.svg                      | XML              |          1 |          0 |          0 |          1 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\icon-addlink.svg                            | XML              |          3 |          0 |          1 |          4 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\icon-alert.svg                              | XML              |          3 |          0 |          1 |          4 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\icon-calendar.svg                           | XML              |          9 |          0 |          1 |         10 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\icon-changelink.svg                         | XML              |          3 |          0 |          1 |          4 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\icon-clock.svg                              | XML              |          9 |          0 |          1 |         10 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\icon-deletelink.svg                         | XML              |          3 |          0 |          1 |          4 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\icon-hidelink.svg                           | XML              |          3 |          0 |          1 |          4 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\icon-no.svg                                 | XML              |          3 |          0 |          1 |          4 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\icon-unknown-alt.svg                        | XML              |          3 |          0 |          1 |          4 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\icon-unknown.svg                            | XML              |          3 |          0 |          1 |          4 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\icon-viewlink.svg                           | XML              |          3 |          0 |          1 |          4 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\icon-yes.svg                                | XML              |          3 |          0 |          1 |          4 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\inline-delete.svg                           | XML              |          3 |          0 |          1 |          4 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\search.svg                                  | XML              |          3 |          0 |          1 |          4 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\selector-icons.svg                          | XML              |         34 |          0 |          1 |         35 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\sorting-icons.svg                           | XML              |         19 |          0 |          1 |         20 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\tooltag-add.svg                             | XML              |          3 |          0 |          1 |          4 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\tooltag-arrowright.svg                      | XML              |          3 |          0 |          1 |          4 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\SelectBox.js                                 | JavaScript       |        111 |          5 |          1 |        117 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\SelectFilter2.js                             | JavaScript       |        258 |         28 |         22 |        308 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\actions.js                                   | JavaScript       |        175 |          9 |         21 |        205 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\admin\DateTimeShortcuts.js                   | JavaScript       |        317 |         65 |         27 |        409 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\admin\RelatedObjectLookups.js                | JavaScript       |        216 |         14 |         23 |        253 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\autocomplete.js                              | JavaScript       |         28 |          2 |          4 |         34 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\calendar.js                                  | JavaScript       |        196 |         28 |         16 |        240 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\cancel.js                                    | JavaScript       |         24 |          3 |          3 |         30 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\change_form.js                               | JavaScript       |         14 |          2 |          1 |         17 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\core.js                                      | JavaScript       |        148 |         19 |         18 |        185 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\filters.js                                   | JavaScript       |         20 |          6 |          5 |         31 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\inlines.js                                   | JavaScript       |        272 |         61 |         27 |        360 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\jquery.init.js                               | JavaScript       |          2 |          6 |          1 |          9 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\nav_sidebar.js                               | JavaScript       |         73 |          1 |          6 |         80 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\popup_response.js                            | JavaScript       |         15 |          0 |          1 |         16 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\prepopulate.js                               | JavaScript       |         29 |         10 |          5 |         44 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\prepopulate_init.js                          | JavaScript       |         15 |          0 |          1 |         16 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\theme.js                                     | JavaScript       |         43 |          3 |          6 |         52 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\unusable_password_field.js                   | JavaScript       |         24 |          5 |          1 |         30 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\urlify.js                                    | JavaScript       |        159 |          5 |          6 |        170 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\jquery\jquery.js                      | JavaScript       |      6,767 |      1,887 |      2,063 |     10,717 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\jquery\jquery.min.js                  | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\LICENSE.md                    | Markdown         |         17 |          0 |          5 |         22 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\af.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\ar.js                    | JavaScript       |          1 |          1 |          1 |          3 |
